"","apprehension_date","arrests","TEXAS","WISCONSIN","ILLINOIS","MINNESOTA","OREGON"
"336",2025-10-19,8,NA,NA,NA,NA,11.7142857142857
"337",2025-10-19,132,276.142857142857,NA,NA,NA,NA
"338",2025-10-19,2,NA,4.14285714285714,NA,NA,NA
"339",2025-10-20,68,NA,NA,72.7142857142857,NA,NA
"340",2025-10-20,18,NA,NA,NA,8,NA
"341",2025-10-20,20,NA,NA,NA,NA,12.5714285714286
"342",2025-10-20,245,281.571428571429,NA,NA,NA,NA
"343",2025-10-20,5,NA,4.42857142857143,NA,NA,NA
"344",2025-10-21,80,NA,NA,72.1428571428571,NA,NA
"345",2025-10-21,11,NA,NA,NA,7.71428571428571,NA
"346",2025-10-21,12,NA,NA,NA,NA,13.5714285714286
"347",2025-10-21,357,276.714285714286,NA,NA,NA,NA
"348",2025-10-21,7,NA,4.28571428571429,NA,NA,NA
"349",2025-10-22,83,NA,NA,73.4285714285714,NA,NA
"350",2025-10-22,9,NA,NA,NA,8.28571428571429,NA
"351",2025-10-22,10,NA,NA,NA,NA,15
"352",2025-10-22,360,283.857142857143,NA,NA,NA,NA
"353",2025-10-22,2,NA,4.42857142857143,NA,NA,NA
"354",2025-10-23,76,NA,NA,71.5714285714286,NA,NA
"355",2025-10-23,6,NA,NA,NA,8.28571428571429,NA
"356",2025-10-23,17,NA,NA,NA,NA,16.4285714285714
"357",2025-10-23,351,294.571428571429,NA,NA,NA,NA
"358",2025-10-23,8,NA,4.28571428571429,NA,NA,NA
"359",2025-10-24,73,NA,NA,72.5714285714286,NA,NA
"360",2025-10-24,8,NA,NA,NA,7.71428571428571,NA
"361",2025-10-24,24,NA,NA,NA,NA,16.1428571428571
"362",2025-10-24,353,312.714285714286,NA,NA,NA,NA
"363",2025-10-24,5,NA,4.57142857142857,NA,NA,NA
"364",2025-10-25,63,NA,NA,72.7142857142857,NA,NA
"365",2025-10-25,5,NA,NA,NA,7.28571428571429,NA
"366",2025-10-25,14,NA,NA,NA,NA,18.5714285714286
"367",2025-10-25,189,317.571428571429,NA,NA,NA,NA
"368",2025-10-25,2,NA,5.42857142857143,NA,NA,NA
"369",2025-10-26,58,NA,NA,72.4285714285714,NA,NA
"370",2025-10-26,1,NA,5.71428571428571,NA,7.71428571428571,NA
"371",2025-10-26,18,NA,NA,NA,NA,22.8571428571429
"372",2025-10-26,207,332.428571428571,NA,NA,NA,NA
"373",2025-10-27,75,NA,NA,74.2857142857143,NA,NA
"374",2025-10-27,14,NA,NA,NA,8.28571428571429,NA
"375",2025-10-27,18,NA,NA,NA,NA,28.7142857142857
"376",2025-10-27,372,345.142857142857,NA,NA,NA,NA
"377",2025-10-27,7,NA,6,NA,NA,NA
"378",2025-10-28,81,NA,NA,77.2857142857143,NA,NA
"379",2025-10-28,8,NA,NA,NA,8.14285714285714,NA
"380",2025-10-28,29,NA,NA,NA,NA,28.1428571428571
"381",2025-10-28,391,337.714285714286,NA,NA,NA,NA
"382",2025-10-28,13,NA,6.42857142857143,NA,NA,NA
"383",2025-10-29,81,NA,NA,79.1428571428571,NA,NA
"384",2025-10-29,12,NA,NA,NA,7.57142857142857,NA
"385",2025-10-29,40,NA,NA,NA,NA,28.5714285714286
"386",2025-10-29,464,341.714285714286,NA,NA,NA,NA
"387",2025-10-29,4,NA,6.85714285714286,NA,NA,NA
"388",2025-10-30,89,NA,NA,80,NA,NA
"389",2025-10-30,10,NA,7,NA,7.57142857142857,NA
"390",2025-10-30,58,NA,NA,NA,NA,29
"391",2025-10-30,440,345.571428571429,NA,NA,NA,NA
"392",2025-10-31,94,NA,NA,77.7142857142857,NA,NA
"393",2025-10-31,7,NA,NA,NA,7.57142857142857,NA
"394",2025-10-31,20,NA,NA,NA,NA,29.8571428571429
"395",2025-10-31,301,334,NA,NA,NA,NA
"396",2025-10-31,8,NA,6.71428571428571,NA,NA,NA
"397",2025-11-01,76,NA,NA,76.7142857142857,NA,NA
"398",2025-11-01,1,NA,NA,NA,8.14285714285714,NA
"399",2025-11-01,17,NA,NA,NA,NA,28
"400",2025-11-01,217,325.428571428571,NA,NA,NA,NA
"401",2025-11-01,5,NA,5.71428571428571,NA,NA,NA
"402",2025-11-02,64,NA,NA,77.2857142857143,NA,NA
"403",2025-11-02,1,NA,NA,NA,8.14285714285714,NA
"404",2025-11-02,21,NA,NA,NA,NA,25.8571428571429
"405",2025-11-02,234,316.428571428571,NA,NA,NA,NA
"406",2025-11-02,2,NA,6.28571428571429,NA,NA,NA
"407",2025-11-03,59,NA,NA,73.8571428571429,NA,NA
"408",2025-11-03,14,NA,NA,NA,8.42857142857143,NA
"409",2025-11-03,24,NA,NA,NA,NA,19.8571428571429
"410",2025-11-03,291,299.142857142857,NA,NA,NA,NA
"411",2025-11-03,5,NA,5.85714285714286,NA,NA,NA
"412",2025-11-04,74,NA,NA,69.7142857142857,NA,NA
"413",2025-11-04,12,NA,NA,NA,8.57142857142857,NA
"414",2025-11-04,16,NA,NA,NA,NA,19.2857142857143
"415",2025-11-04,331,308.714285714286,NA,NA,NA,NA
"416",2025-11-04,6,NA,5.14285714285714,NA,NA,NA
"417",2025-11-05,85,NA,NA,66.4285714285714,NA,NA
"418",2025-11-05,12,NA,NA,NA,8.71428571428571,NA
"419",2025-11-05,25,NA,NA,NA,NA,19.7142857142857
"420",2025-11-05,401,301.142857142857,NA,NA,NA,NA
"421",2025-11-05,8,NA,5.14285714285714,NA,NA,NA
"422",2025-11-06,65,NA,NA,60.2857142857143,NA,NA
"423",2025-11-06,12,NA,NA,NA,9.42857142857143,NA
"424",2025-11-06,16,NA,NA,NA,NA,17.2857142857143
"425",2025-11-06,319,290.142857142857,NA,NA,NA,NA
"426",2025-11-06,7,NA,5.28571428571429,NA,NA,NA
"427",2025-11-07,65,NA,NA,56.7142857142857,NA,NA
"428",2025-11-07,8,NA,NA,NA,7.85714285714286,NA
"429",2025-11-07,16,NA,NA,NA,NA,17.1428571428571
"430",2025-11-07,368,296.571428571429,NA,NA,NA,NA
"431",2025-11-07,3,NA,5.28571428571429,NA,NA,NA
"432",2025-11-08,53,NA,NA,48,NA,NA
"433",2025-11-08,20,NA,NA,NA,NA,20.2857142857143
"434",2025-11-08,164,286.285714285714,NA,NA,NA,NA
"435",2025-11-08,5,NA,4.85714285714286,NA,NA,NA
"436",2025-11-09,21,NA,NA,40,NA,NA
"437",2025-11-09,2,NA,NA,NA,7.57142857142857,NA
"438",2025-11-09,4,NA,NA,NA,NA,18.5714285714286
"439",2025-11-09,157,283.428571428571,NA,NA,NA,NA
"440",2025-11-09,3,NA,5.28571428571429,NA,NA,NA
"441",2025-11-10,34,NA,NA,34,NA,NA
